0.089047	10.230036	0.0330365
0.092997	9.753047	0.0323551
0.097823	9.222549	0.0347182
0.109163	8.160585	0.0379532
0.114604	7.725694	0.0392462
0.117929	7.479647	0.0340446
0.121669	7.218994	0.0368939
0.130285	6.675504	0.0414261
0.138917	6.198549	0.0416142
0.149174	5.703598	0.0508611
0.154251	5.482959	0.0544442
0.161145	5.205576	0.0500863
0.175543	4.696606	0.075118
0.182049	4.493029	0.0809242
0.192102	4.205565	0.092665
0.212372	3.708708	0.109974
0.222641	3.491537	0.129368
0.238387	3.194853	0.174621
0.256016	2.905999	0.196694
